deep_seq	shallow_seq
MFD01213	MFD06427
MFD01213	MFD06663
MFD01213	MFD06706
MFD01213	MFD06830
MFD01213	MFD09383
MFD01213	MFD09422
MFD01213	MFD09477
MFD01213	MFD09687
MFD01213	MFD09818
MFD01213	MFD10194
MFD01213	MFD10669
MFD01213	MFD10672
MFD01213	MFD10683
MFD01213	MFD10884
MFD01223	MFD00007
MFD01223	MFD00015
MFD01223	MFD00078
MFD01223	MFD00080
MFD01223	MFD00082
MFD01223	MFD00086
MFD01223	MFD00128
MFD01223	MFD00253
MFD01223	MFD00308
MFD01223	MFD00328
MFD01223	MFD00329
MFD01223	MFD00673
MFD01223	MFD00860
MFD01223	MFD00863
MFD01223	MFD00971
MFD01223	MFD01155
MFD01223	MFD01159
MFD01223	MFD01188
MFD01223	MFD01192
MFD01223	MFD01223
MFD01223	MFD01418
MFD01223	MFD01421
MFD01223	MFD01689
MFD01223	MFD01805
MFD01223	MFD01828
MFD01223	MFD01836
MFD01223	MFD01857
MFD01223	MFD01908
MFD01223	MFD01910
MFD01223	MFD01919
MFD01223	MFD01921
MFD01223	MFD02380
MFD01223	MFD03800
MFD01223	MFD04432
MFD01223	MFD04521
MFD01223	MFD04579
MFD01223	MFD04737
MFD01223	MFD04813
MFD01223	MFD04835
MFD01223	MFD05512
MFD01223	MFD06481
MFD01223	MFD06591
MFD01223	MFD06593
MFD01223	MFD06665
MFD01223	MFD09286
MFD01223	MFD09390
MFD01223	MFD09455
MFD01223	MFD09530
MFD01223	MFD09551
MFD01223	MFD09665
MFD01231	MFD00007
MFD01231	MFD00015
MFD01231	MFD00086
MFD01231	MFD00104
MFD01231	MFD00112
MFD01231	MFD00273
MFD01231	MFD00306
MFD01231	MFD00308
MFD01231	MFD00329
MFD01231	MFD00412
MFD01231	MFD00673
MFD01231	MFD00971
MFD01231	MFD01124
MFD01231	MFD01188
MFD01231	MFD01567
MFD01231	MFD01689
MFD01231	MFD01805
MFD01231	MFD01828
MFD01231	MFD01857
MFD01231	MFD01919
MFD01231	MFD01921
MFD01231	MFD02138
MFD01231	MFD02299
MFD01231	MFD02541
MFD01231	MFD02725
MFD01231	MFD02961
MFD01231	MFD03044
