fieldsample_barcode	habitat_typenumber	mfd_sampletype	mfd_areatype	mfd_hab1	mfd_hab2	mfd_hab3	longitude	latitude	assembled	reads_n	reads_size_bp	reads_N50_bp	reads_len_max_bp	reads_len_min_bp	reads_mean_len_bp	reads_median_len_bp	reads_mean_q	reads_median_q	contigs_n	contigs_size_bp	contigs_N50_bp	contigs_len_max_bp	contigs_len_min_bp	contigs_mean_len_bp	contigs_median_len_bp	HQ_mags	MQ_mags	r_abund	r_abund_hq	nanopore	speed_bps	sampling_khz	device	minknow_v	basecaller	basecaller_v	mmlong2_v	ENA_id	ENA_raw1	ENA_raw2	ENA_raw3	ENA_reads
MFD02671	2180	Soil	Natural	Dunes	Sea dunes	Wooded dunes	8.4288	56.9818	69.874	21517744	73308698304	5825	500108	200	3406	2214	12.5	17.4	36615	1414144064	123823	3998088	3000	38621	13078	35	89	53.637	17.463	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381624	ERX10514065	ERX10514066	ERX10514067	ERX10975316
MFD02809	6410	Soil	Urban	Urban	Greenspaces	Parks	10.0546	56.815	56.321	46470357	141479469560	6008	780180	200	3044	1642	11.6	18.5	125806	2891614698	45531	2811154	3000	22984	10782	25	196	29.06	4.157	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928279	ERX11253774	ERX11253775	ERX11253776	ERX11419407
MFD02832	1100	Sediment	Natural	Saltwater	Open sea and tidal areas		14.7874	55.0538	57.063	49736927	98125466215	3083	1066202	200	1972	1321	10.8	18.7	43441	1163847673	67306	4743223	3000	26791	10589	56	96	50.356	25.472	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252357	ERX11280969	ERX11280970	ERX11280971	ERX11420850
MFD02840	1200	Soil	Natural	Coastal	Sea cliffs and shingle or stony beaches		14.7807	55.0595	70.507	34084185	149980411371	7452	397466	200	4400	3420	15.8	17.5	106960	4052356339	109046	7719408	3000	37886	13543	94	243	46.611	15.032	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381639	ERX10845243	ERX10845244	ERX10845245	ERX10995509
MFD02923	1330	Soil	Natural	Coastal	Salt marshes and salt meadows	Atlantic salt meadows	8.8343	56.765	71.458	43104655	62042620612	3166	478433	200	1439	655	12.5	17.2	29683	969602651	99334	3434971	3000	32665	11104	55	98	61.483	24.269	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381653	ERX10649980	ERX10649981	ERX10649982	ERX10929541
MFD02979	3120	Sediment	Urban	Freshwater	Standing freshwater	Rainwater basin, City	10.0517	56.323	63.04	25622938	111193943967	6694	525710	200	4339	3352	15.7	17.9	78310	2331529343	77585	4802620	3000	29773	11556	51	152	37.755	10.685	R10.4.1	400	4	P2	22.07.4	Guppy	6.3.2	1.0.1	ERS14381601	ERX10206477	ERX10206478	ERX10206479	ERX10207458
MFD03044	3120	Sediment	Urban	Freshwater	Standing freshwater	Rainwater basin, City	10.3691	56.425	69.057	39867702	90483535436	3688	492693	200	2269	1415	13.5	16.9	43749	1379407111	89031	4028738	3000	31530	11372	51	96	55.632	31.938	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381661	ERX10864329	ERX10864330	ERX10864331	ERX10996327
MFD03066	6420	Soil	Urban	Urban	Greenspaces	Other	10.5828	56.3609	51.302	33853565	166199505837	6107	427485	200	4909	4378	15.9	18.1	98738	3089518861	67024	10076357	3000	31290	14335	21	160	25.37	2.974	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381662	ERX10906752	ERX10906753	ERX10906754	ERX10996328
MFD03250	1110	Water	Natural	Saltwater	Harbours		11.0731	55.677	87.924	14302835	102321211010	10521	672694	200	7153	5702	18.8	20.1	19087	1238763174	268511	6192661	3000	64900	18937	98	78	65.473	44.679	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252358	ERX11405084	ERX11405085	ERX11405086	ERX11423445
MFD03323	4110	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath	9.6333	56.459	70.993	25787654	49857460100	3891	870444	200	1933	980	15	17.8	135920	1706242224	17001	5242980	3000	12553	7222	19	102	47.863	16.039	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928280	ERX11273251	ERX11273252	ERX11273253	ERX11420356
MFD03346	4130	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	9.2692	56.2436	78.019	16495208	73748563019	6340	664512	200	4470	3700	16.3	18.6	39086	1653182441	110096	6568462	3000	42296	16188	43	87	48.864	18.476	R10.4.1	400	4	P2	22.07.4	Guppy	6.3.2	1.0.1	ERS14381602	ERX10178546	ERX10178547	ERX10178548	ERX10207459
MFD03399	6230	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	9.77493	57.18586	76.267	16861862	76232696160	6616	1158948	200	4521	3671	15.9	18.1	30961	1539684012	174794	7409497	3000	49729	15380	60	97	58.903	34.124	R10.4.1	400	4	P2	22.07.4	Guppy	6.3.2	1.0.1	ERS14381603	ERX10188964	ERX10188965	ERX10188966	ERX10207460
MFD03551	1100	Sediment	Natural	Saltwater	Open sea and tidal areas		10.4258	57.579	54.816	55062403	85719556596	2750	502286	200	1556	848	9.8	19.6	50043	1119916685	48593	2469951	3000	22379	9820	27	101	35.804	8.525	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252359	ERX11405776	ERX11405777	ERX11405778	ERX11423447
