fieldsample_barcode	habitat_typenumber	mfd_sampletype	mfd_areatype	mfd_hab1	mfd_hab2	mfd_hab3	longitude	latitude	flat_name	after_total_reads	after_total_bases
MFD13017	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	NA	NA	LIB-MJ380-H9_03.fastq.gz	47600	6920795
MFD13018	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	NA	NA	LIB-MJ381-B10_02.fastq.gz	40486	5855184
MFD13019	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	NA	NA	LIB-MJ385-B9_04.fastq.gz	1462	199054
MFD13020	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	NA	NA	LIB-MJ380-C12_03.fastq.gz	209744	30655598
MFD13021	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	NA	NA	LIB-MJ383-D9_01.fastq.gz	3846	535279
MFD13022	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	NA	NA	LIB-MJ385-A3_04.fastq.gz	2724	345965
MFD13023	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	NA	NA	LIB-MJ385-E7_04.fastq.gz	8708	1219621
MFD13024	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	NA	NA	LIB-MJ383-E8_01.fastq.gz	6316	903278
MFD13025	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	NA	NA	LIB-MJ383-E4_01.fastq.gz	5754	835774
MFD13026	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	NA	NA	LIB-MJ385-H2_04.fastq.gz	67000	9722298
MFD13027	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	NA	NA	LIB-MJ380-E4_03.fastq.gz	6644	874828
MFD13028	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	NA	NA	LIB-MJ382-E3_02.fastq.gz	2040	281324
MFD13029	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	NA	NA	LIB-MJ380-A8_03.fastq.gz	932	128676
MFD13030	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	NA	NA	LIB-MJ381-B7_02.fastq.gz	719870	102915541
