Genus,n_observations,n_abundant,mean_abundance,Genus_type,complex1,group_size,Core,prevalence,fidelity
Acidothermus,273,195,0.587948770893227,Core,"Soil, Agriculture, Fields",377,189,0.724137931034483,8
MFD_g_198,320,275,0.543475383450606,Core,"Soil, Agriculture, Fields",377,189,0.848806366047745,1
MFD_g_144,368,341,0.533151204222854,Core,"Soil, Agriculture, Fields",377,189,0.976127320954907,7
MFD_g_264,329,288,0.532092314045649,Core,"Soil, Agriculture, Fields",377,189,0.872679045092838,4
MFD_g_2431,354,324,0.517532574109076,Core,"Soil, Agriculture, Fields",377,189,0.938992042440318,2
MFD_g_8,359,337,0.503502279261106,Core,"Soil, Agriculture, Fields",377,189,0.952254641909814,8
MFD_g_4907,342,297,0.456116943831171,Core,"Soil, Agriculture, Fields",377,189,0.907161803713528,2
MFD_g_650,336,289,0.454528608565363,Core,"Soil, Agriculture, Fields",377,189,0.891246684350133,3
MFD_g_782,360,327,0.452940273299555,Core,"Soil, Agriculture, Fields",377,189,0.954907161803714,7
Bryobacter,364,332,0.437321643185777,Core,"Soil, Agriculture, Fields",377,189,0.96551724137931,9
Clostridium_sensu_stricto_1,319,260,0.432291914844052,Core,"Soil, Agriculture, Fields",377,189,0.846153846153846,5
Bradyrhizobium,356,320,0.421438290527698,Core,"Soil, Agriculture, Fields",377,189,0.944297082228117,8
Ca_Alysiosphaera,348,301,0.411378833844248,Core,"Soil, Agriculture, Fields",377,189,0.923076923076923,3
MFD_g_340,330,279,0.393112978287457,Core,"Soil, Agriculture, Fields",377,189,0.875331564986737,2
Nakamurella,337,285,0.376964903085077,Core,"Soil, Agriculture, Fields",377,189,0.893899204244032,3
MFD_g_5535,353,314,0.360552105338395,Core,"Soil, Agriculture, Fields",377,189,0.936339522546419,7
MFD_g_161,286,236,0.357110712262478,Core,"Soil, Agriculture, Fields",377,189,0.758620689655172,1
Nitrospira,353,301,0.349963203566342,Core,"Soil, Agriculture, Fields",377,189,0.936339522546419,5
MFD_g_512,319,278,0.346257087946124,Core,"Soil, Agriculture, Fields",377,189,0.846153846153846,1
MFD_g_812,361,319,0.344668752680316,Core,"Soil, Agriculture, Fields",377,189,0.957559681697613,4
RB41,327,276,0.344404030136014,Core,"Soil, Agriculture, Fields",377,189,0.86737400530504,1
MFD_g_6,343,274,0.329314845110839,Core,"Soil, Agriculture, Fields",377,189,0.909814323607427,8
MFD_g_9823,319,256,0.328255954933634,Core,"Soil, Agriculture, Fields",377,189,0.846153846153846,3
Blastococcus,336,271,0.318461220794485,Core,"Soil, Agriculture, Fields",377,189,0.891246684350133,1
Microlunatus,297,233,0.312372602275555,Core,"Soil, Agriculture, Fields",377,189,0.787798408488064,2
MFD_g_5777,315,259,0.303636758313612,Core,"Soil, Agriculture, Fields",377,189,0.835543766578249,2
MFD_g_1634,310,241,0.295695081984572,Core,"Soil, Agriculture, Fields",377,189,0.822281167108753,2
Massilia,288,191,0.294371469263065,Core,"Soil, Agriculture, Fields",377,189,0.763925729442971,1
Jatrophihabitans,317,237,0.288547573288436,Core,"Soil, Agriculture, Fields",377,189,0.840848806366048,6
Microvirga,309,243,0.288018128199834,Core,"Soil, Agriculture, Fields",377,189,0.819628647214854,2
Pir4_lineage,343,269,0.284841457668218,Core,"Soil, Agriculture, Fields",377,189,0.909814323607427,10
MFD_g_875,299,230,0.274252555896165,Core,"Soil, Agriculture, Fields",377,189,0.793103448275862,3
Subgroup_10,329,260,0.263928376668414,Core,"Soil, Agriculture, Fields",377,189,0.872679045092838,7
MFD_g_1794,296,240,0.262604763946907,Core,"Soil, Agriculture, Fields",377,189,0.785145888594165,2
MFD_g_11470,282,199,0.250692249453348,Core,"Soil, Agriculture, Fields",377,189,0.748010610079576,3
