bin	cov	MAG_status
MFD00392.bin.4.109	43.840164	MQ
MFD00392.bin.4.475	12.68698	MQ
MFD00392.bin.4.653	25.132612	MQ
MFD00392.bin.4.807	18.374514	MQ
MFD00392.bin.4.906	15.964693	MQ
MFD00709.bin.1.4	15.989027	MQ
MFD00709.bin.2.102	19.845144	MQ
MFD00709.bin.2.104	15.870023	MQ
MFD00709.bin.2.114	25.44343	MQ
MFD00709.bin.2.117	24.809986	MQ
MFD00709.bin.2.118	16.254007	MQ
MFD00709.bin.2.122	31.033604	MQ
MFD00709.bin.2.131	12.489239	MQ
MFD00709.bin.2.137	24.829935	MQ
MFD00709.bin.2.142	15.95602	MQ
MFD00709.bin.2.144	24.13413	MQ
MFD00709.bin.2.146	16.312698	MQ
MFD00709.bin.2.147	27.96741	MQ
MFD00709.bin.2.150	18.973392	MQ
MFD00709.bin.2.153	31.079546	MQ
MFD00709.bin.2.155	14.997725	MQ
MFD00709.bin.2.156	28.697308	MQ
MFD00709.bin.2.157	14.465888	MQ
MFD00709.bin.2.159	24.079811	MQ
MFD00709.bin.2.162	16.585686	MQ
MFD00709.bin.2.166	20.545149	MQ
MFD00709.bin.2.17	24.79964	MQ
MFD00709.bin.2.174	22.018984	MQ
MFD00709.bin.2.175	22.254885	MQ
MFD00709.bin.2.182	19.775776	MQ
MFD00709.bin.2.187	24.57445	MQ
MFD00709.bin.2.20	16.180105	MQ
MFD00709.bin.2.201	22.058907	MQ
MFD00709.bin.2.207	19.657444	MQ
MFD00709.bin.2.211	11.354108	MQ
MFD00709.bin.2.216	26.451454	MQ
MFD00709.bin.2.28	43.42964	MQ
MFD00709.bin.2.3	33.941315	MQ
MFD00709.bin.2.32	23.192976	MQ
MFD00709.bin.2.34	24.958485	MQ
MFD00709.bin.2.4	27.723494	MQ
MFD00709.bin.2.40	29.072426	MQ
MFD00709.bin.2.41	15.485511	MQ
MFD00709.bin.2.42	21.97698	MQ
MFD00709.bin.2.44	24.034327	MQ
MFD00709.bin.2.45	18.961052	MQ
MFD00709.bin.2.48	14.860323	MQ
MFD00709.bin.2.5	15.535157	MQ
MFD00709.bin.2.50	38.55605	MQ
MFD00709.bin.2.54	23.744322	MQ
MFD00709.bin.2.55	36.15885	MQ
MFD00709.bin.2.62	16.90861	MQ
MFD00709.bin.2.64	27.596287	MQ
MFD00709.bin.2.65	25.793278	MQ
MFD00709.bin.2.7	15.97301	MQ
MFD00709.bin.2.72	16.986769	MQ
MFD00709.bin.2.75	32.81964	MQ
MFD00709.bin.2.8	24.158848	MQ
MFD00709.bin.2.91	22.414108	MQ
MFD00709.bin.3.102	34.83891	MQ
MFD00709.bin.3.105	15.283712	MQ
MFD00709.bin.3.125	18.957119	MQ
MFD00709.bin.3.130	19.886992	MQ
MFD00709.bin.3.153	37.46663	MQ
MFD00709.bin.3.160	18.244678	MQ
MFD00709.bin.3.183	16.09445	MQ
MFD00709.bin.3.2	17.11731	MQ
MFD00709.bin.3.294	31.668545	MQ
MFD00709.bin.3.31	24.105217	MQ
MFD00709.bin.3.321	25.510754	MQ
MFD00709.bin.3.343	36.778496	MQ
MFD00709.bin.3.465	47.532024	MQ
MFD00709.bin.3.484	27.62037	MQ
MFD00709.bin.3.77	26.000156	MQ
MFD00731.bin.1.153	41.12346	MQ
MFD00731.bin.1.234	61.68488	MQ
MFD00731.bin.2.1	49.21211	MQ
MFD00731.bin.2.11	20.034676	MQ
MFD00731.bin.2.111	33.455555	MQ
MFD00731.bin.2.112	33.249493	MQ
MFD00731.bin.2.114	20.593279	MQ
MFD00731.bin.2.120	14.184176	MQ
MFD00731.bin.2.127	33.45	MQ
MFD00731.bin.2.129	25.916687	MQ
MFD00731.bin.2.132	51.169685	MQ
MFD00731.bin.2.133	67.81863	MQ
MFD00731.bin.2.137	24.605494	MQ
MFD00731.bin.2.14	26.609653	MQ
MFD00731.bin.2.142	14.410774	MQ
MFD00731.bin.2.145	16.781317	MQ
MFD00731.bin.2.149	20.807842	MQ
MFD00731.bin.2.150	20.214708	MQ
MFD00731.bin.2.157	34.811428	MQ
MFD00731.bin.2.159	17.793928	MQ
MFD00731.bin.2.164	35.59909	MQ
MFD00731.bin.2.166	20.684793	MQ
MFD00731.bin.2.167	16.024078	MQ
MFD00731.bin.2.169	34.861008	MQ
MFD00731.bin.2.17	27.97425	MQ
MFD00731.bin.2.170	30.103743	MQ
MFD00731.bin.2.173	86.70951	MQ
MFD00731.bin.2.174	32.864075	MQ
MFD00731.bin.2.180	18.071426	MQ
MFD00731.bin.2.183	31.220827	MQ
MFD00731.bin.2.187	17.320206	MQ
MFD00731.bin.2.193	21.178661	MQ
MFD00731.bin.2.198	50.49798	MQ
MFD00731.bin.2.2	18.458693	MQ
MFD00731.bin.2.20	17.343304	MQ
MFD00731.bin.2.201	23.274889	MQ
MFD00731.bin.2.202	31.058159	MQ
MFD00731.bin.2.203	31.667576	MQ
MFD00731.bin.2.205	15.765338	MQ
MFD00731.bin.2.212	15.044	MQ
MFD00731.bin.2.216	18.248487	MQ
MFD00731.bin.2.220	32.019722	MQ
MFD00731.bin.2.26	15.677297	MQ
MFD00731.bin.2.35	25.836964	MQ
MFD00731.bin.2.4	31.32431	MQ
MFD00731.bin.2.47	31.841047	MQ
MFD00731.bin.2.48	19.813694	MQ
MFD00731.bin.2.49	24.96955	MQ
MFD00731.bin.2.57	21.057411	MQ
MFD00731.bin.2.58	23.246761	MQ
MFD00731.bin.2.6	15.92178	MQ
MFD00731.bin.2.60	14.839597	MQ
MFD00731.bin.2.62	23.909681	MQ
MFD00731.bin.2.63	21.672636	MQ
MFD00731.bin.2.65	14.206932	MQ
MFD00731.bin.2.67	17.780418	MQ
MFD00731.bin.2.72	16.15165	MQ
MFD00731.bin.2.73	30.976213	MQ
MFD00731.bin.2.74	13.074501	MQ
